epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,846.989,1.74011,4.33274,2.19336,0.04655,0.04748,0.03283,0.0131,1.66682,4.70432,2.05792,0.000117392,0.000117392,0.000117392
2,1502.11,1.58342,3.79321,2.00556,0.71108,0.03639,0.04373,0.01999,2.09456,4.58137,2.62429,0.000234052,0.000234052,0.000234052
3,2026.2,1.6048,3.54572,2.02739,0.73764,0.05208,0.03783,0.01522,2.0043,4.43196,2.49684,0.000348355,0.000348355,0.000348355
4,2552.75,1.56974,3.41454,2.02327,0.61356,0.03778,0.03607,0.0107,2.16959,4.58181,2.67411,0.000346397,0.000346397,0.000346397
5,3080.37,1.57736,3.3143,2.01342,0.48394,0.05068,0.02974,0.00978,2.19104,4.59176,2.73589,0.000342863,0.000342863,0.000342863
6,3604,1.53043,3.26176,1.98564,0.69712,0.06022,0.03416,0.01183,2.20274,4.46531,2.83984,0.000339329,0.000339329,0.000339329
7,4127.68,1.53856,3.1963,1.97269,0.64734,0.05993,0.06159,0.02283,2.11558,4.26981,2.64261,0.000335794,0.000335794,0.000335794
8,4643.37,1.53337,3.12866,1.95725,0.54498,0.04072,0.04133,0.01359,2.20087,4.28091,2.70813,0.00033226,0.00033226,0.00033226
9,5149.55,1.5288,3.0677,1.94531,0.60044,0.06591,0.05177,0.01799,2.26397,4.19372,2.67452,0.000328726,0.000328726,0.000328726
10,5665,1.50793,3.00136,1.92192,0.67184,0.05855,0.06699,0.02353,2.31166,4.29206,2.84288,0.000325191,0.000325191,0.000325191
11,6170.9,1.47466,2.98529,1.90147,0.66042,0.05605,0.04494,0.01697,2.33229,4.34555,2.80054,0.000321657,0.000321657,0.000321657
